segment_idx,segment_start,segment_end,m1_speed_psd_peak_baseband,m1_speed_psd_peak_fm_demodulated,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_fm_demodulated,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_fm_demodulated,m1_speed_rms_baseband,m1_speed_rms_fm_demodulated,m1_speed_mean_baseband,m1_speed_mean_fm_demodulated,m1_speed_variance_baseband,m1_speed_variance_fm_demodulated,m1_speed_fft_peak_baseband,m1_speed_fft_peak_fm_demodulated,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_fm_demodulated,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_fm_demodulated,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_fm_demodulated,o8_compressor_rms_baseband,o8_compressor_rms_fm_demodulated,o8_compressor_mean_baseband,o8_compressor_mean_fm_demodulated,o8_compressor_variance_baseband,o8_compressor_variance_fm_demodulated,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_fm_demodulated,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_fm_demodulated,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_fm_demodulated,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_fm_demodulated,current_task_duration_rms_baseband,current_task_duration_rms_fm_demodulated,current_task_duration_mean_baseband,current_task_duration_mean_fm_demodulated,current_task_duration_variance_baseband,current_task_duration_variance_fm_demodulated,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_fm_demodulated,current_state_binary
0,2023-02-06T14:08:10.000000000,2023-02-06T14:09:08.000000000,0.001065,0.696001,0.001208,0.501088,1.0,0.768644,0.0,0.438136,0.0,0.0,0.610527,0.678591,0.0,0.0,0.0,0.558149,0.0,0.46002,0.0,0.082983,0.0,0.34413,0.0,0.612085,0.0,0.611796,0.0,0.301309,0.0,0.666397,0.0,0.708062,0.0,0.305443,0.0,0.134821,0.001744,0.451991,0.0,0.589477,0.0,0.488458,1
1,2023-02-06T14:08:40.000000000,2023-02-06T14:09:38.000000000,0.454993,0.259921,0.462363,0.183325,0.333333,0.788452,0.683626,0.705352,0.598029,0.478742,0.99519,0.486352,0.598029,0.478742,0.0,0.134323,0.0,0.127495,0.0,0.071347,0.0,0.025414,0.0,0.409418,0.0,0.409382,0.0,0.025708,0.0,0.070575,0.0,0.083692,0.0,0.227292,0.0,0.111527,0.001744,0.092128,0.0,0.046191,0.0,0.091159,1
2,2023-02-06T14:09:10.000000000,2023-02-06T14:10:08.000000000,0.000152,0.195451,0.000168,0.178565,1.0,0.519349,0.994845,0.986713,0.996507,1.0,0.000473,0.13021,0.996507,1.0,0.0,0.263102,0.0,0.237649,0.0,0.11475,0.0,0.115136,0.0,0.48786,0.0,0.487321,0.0,0.104965,0.0,0.244763,0.0,0.269943,0.0,0.288814,0.0,0.16433,0.001744,0.231175,0.0,0.238252,0.0,0.250062,1
3,2023-02-06T14:09:40.000000000,2023-02-06T14:10:38.000000000,0.0,0.335365,0.0,0.319628,0.333333,0.216524,0.994806,0.80377,0.996539,0.810933,1e-06,0.320664,0.996539,0.810933,0.0,0.345244,0.0,0.325151,0.0,0.172409,0.0,0.167574,0.0,0.552352,0.0,0.551201,0.0,0.154165,0.0,0.30614,0.0,0.331,0.0,0.361199,0.0,0.227129,0.001744,0.246145,0.0,0.268125,0.0,0.259323,1
4,2023-02-06T14:10:10.000000000,2023-02-06T14:11:08.000000000,0.0,0.264185,0.0,0.298593,0.0,0.108078,0.994659,0.708264,0.996434,0.601565,0.0,0.308523,0.996434,0.601565,0.0,0.261133,0.0,0.267591,0.0,0.178257,0.0,0.11757,0.0,0.535409,0.0,0.533856,0.0,0.113234,0.0,0.180797,0.0,0.193099,0.0,0.369779,0.0,0.2648,0.001744,0.126403,0.0,0.11345,0.0,0.124372,1
5,2023-02-06T14:10:40.000000000,2023-02-06T14:11:38.000000000,0.0,0.180404,0.0,0.202081,0.0,0.187343,0.994659,0.800712,0.996434,0.655461,0.0,0.29309,0.996434,0.655461,0.0,0.147278,0.0,0.143611,0.0,0.11195,0.0,0.143714,0.0,0.533621,0.0,0.532764,0.0,0.134161,0.0,0.232168,0.0,0.249232,0.0,0.358481,0.0,0.193802,0.001744,0.065322,0.0,0.161995,0.0,0.081075,1
6,2023-02-06T14:11:10.000000000,2023-02-06T14:12:08.000000000,0.0,0.115949,0.0,0.143827,0.0,0.174745,0.994659,0.828329,0.996434,0.725256,0.0,0.277007,0.996434,0.725256,0.0,0.126332,0.0,0.137938,0.0,0.125514,0.0,0.109092,0.0,0.527665,0.0,0.526299,0.0,0.106019,0.0,0.1521,0.0,0.16105,0.0,0.378186,0.0,0.244449,0.001744,0.023391,0.0,0.076349,0.0,0.030024,1
7,2023-02-06T14:11:40.000000000,2023-02-06T14:12:38.000000000,0.0,0.182709,0.0,0.209241,0.0,0.163243,0.994659,0.773446,0.996434,0.70523,0.0,0.249803,0.996434,0.70523,0.0,0.184798,0.0,0.190276,0.0,0.144631,0.0,0.141885,0.0,0.555782,0.0,0.554349,0.0,0.135229,0.0,0.204727,0.0,0.216985,0.0,0.428985,0.0,0.249775,0.001744,0.062329,0.0,0.128353,0.0,0.071204,1
8,2023-02-06T14:12:10.000000000,2023-02-06T14:13:08.000000000,0.0,0.112989,0.0,0.117758,0.0,0.250406,0.994659,0.805124,0.996434,0.752207,0.0,0.279774,0.996434,0.752207,0.0,0.10886,0.0,0.110553,0.0,0.100627,0.0,0.119958,0.0,0.516428,0.0,0.515613,0.0,0.113406,0.0,0.183008,0.0,0.197825,0.0,0.413405,0.0,0.180465,0.001744,0.023324,0.0,0.115685,0.0,0.037544,1
9,2023-02-06T14:12:40.000000000,2023-02-06T14:13:38.000000000,0.0,0.231681,0.0,0.238341,0.0,0.232237,0.994659,0.831127,0.996434,0.760446,0.0,0.24818,0.996434,0.760446,0.0,0.19024,0.0,0.195134,0.0,0.138085,0.0,0.113101,0.0,0.524697,0.0,0.52336,0.0,0.108495,0.0,0.177539,0.0,0.184604,0.0,0.382135,0.0,0.254542,0.001744,0.096961,0.0,0.113632,0.0,0.100761,1
10,2023-02-06T14:13:10.000000000,2023-02-06T14:14:08.000000000,0.0,0.321398,0.0,0.300083,0.0,0.39869,0.994659,0.779904,0.996434,0.652106,0.0,0.276736,0.996434,0.652106,0.0,0.277614,0.0,0.267831,0.0,0.164746,0.0,0.158215,0.0,0.551126,0.0,0.549985,0.0,0.147153,0.0,0.263611,0.0,0.289817,0.0,0.591872,0.0,0.204496,0.001744,0.144715,0.0,0.207428,0.0,0.159345,1
11,2023-02-06T14:13:40.000000000,2023-02-06T14:14:38.000000000,0.0,0.434278,0.0,0.408741,0.333333,0.598321,0.994824,0.741895,0.996552,0.599712,8e-06,0.421529,0.996552,0.599712,0.0,0.22459,0.0,0.221568,0.0,0.141395,0.0,0.117578,0.0,0.518603,0.0,0.517443,0.0,0.111196,0.0,0.217319,0.0,0.225906,0.333333,0.771431,0.000429,0.267446,0.001501,0.183911,0.0,0.164016,0.000243,0.191541,1
12,2023-02-06T14:14:10.000000000,2023-02-06T14:15:08.000000000,0.000117,0.871063,0.000134,0.84869,1.0,0.65517,0.98542,0.722751,0.987904,0.61811,0.014318,0.554371,0.987904,0.61811,0.0,0.157886,0.0,0.153145,0.0,0.108977,0.0,0.102949,0.0,0.493617,0.0,0.492861,0.0,0.096871,1.3e-05,0.293692,1.4e-05,0.283349,1.0,0.867799,0.012554,0.396698,0.001538,0.337146,0.000264,0.242519,0.007105,0.337357,1
13,2023-02-06T14:14:40.000000000,2023-02-06T14:15:38.000000000,0.537929,0.82918,0.606826,0.826084,0.333333,0.623984,0.754359,0.695369,0.716677,0.589711,0.666826,0.542529,0.716677,0.589711,0.0,0.184649,0.0,0.178621,0.0,0.1241,0.0,0.119299,0.0,0.509857,0.0,0.509021,0.0,0.111744,0.182413,0.33351,0.125823,0.355305,0.333333,0.839185,0.39213,0.371619,0.298438,0.303003,0.197853,0.255359,0.297212,0.310412,1
14,2023-02-06T14:15:10.000000000,2023-02-06T14:16:08.000000000,0.344976,0.301567,0.283192,0.325351,0.333333,0.576018,0.766236,0.708633,0.72591,0.56307,0.668758,0.359433,0.72591,0.56307,0.0,0.310857,0.0,0.309508,0.0,0.185448,0.0,0.150885,0.0,0.5646,0.0,0.562881,0.0,0.142816,0.283944,0.299297,0.303707,0.3314,0.333333,0.682075,0.392052,0.359361,0.29684,0.219307,0.19839,0.198502,0.295611,0.224114,1
15,2023-02-06T14:15:40.000000000,2023-02-06T14:16:38.000000000,1.5e-05,0.351962,1.8e-05,0.364195,1.0,0.451672,0.995578,0.776862,0.997091,0.635959,4.3e-05,0.287965,0.997091,0.635959,0.0,0.187564,0.0,0.184274,0.0,0.134436,0.0,0.134538,0.0,0.529384,0.0,0.528432,0.0,0.12624,7.5e-05,0.281423,7.9e-05,0.289433,1.0,0.634403,0.009841,0.355905,0.0,0.19955,0.00016,0.204797,0.006255,0.203837,1
16,2023-02-06T14:16:10.000000000,2023-02-06T14:17:08.000000000,0.0,0.284239,0.0,0.282849,0.0,0.222664,0.99476,0.813096,0.996507,0.731964,0.0,0.31584,0.996507,0.731964,0.0,0.136143,0.0,0.141226,0.0,0.11196,0.0,0.110662,0.0,0.517705,0.0,0.516597,0.0,0.105874,0.0,0.192961,0.0,0.206778,0.0,0.44888,0.000461,0.234705,0.001562,0.072398,0.0,0.114786,0.000183,0.081497,1
17,2023-02-06T14:16:40.000000000,2023-02-06T14:17:38.000000000,0.0,0.098111,0.0,0.10215,0.0,0.213654,0.994659,0.78735,0.996434,0.733835,0.0,0.231509,0.996434,0.733835,0.0,0.285952,0.0,0.285676,0.0,0.182156,0.0,0.164944,0.0,0.577986,0.0,0.576363,0.0,0.155617,0.0,0.248395,0.0,0.269401,0.0,0.296452,0.0,0.249954,0.001744,0.135618,0.0,0.17409,0.0,0.141951,1
18,2023-02-06T14:17:10.000000000,2023-02-06T14:18:08.000000000,0.0,0.316871,0.0,0.300205,0.0,0.218697,0.994659,0.80581,0.996434,0.733726,0.0,0.267328,0.996434,0.733726,0.0,0.175178,0.0,0.174733,0.0,0.131776,0.0,0.131438,0.0,0.530875,0.0,0.529866,0.0,0.12389,0.0,0.245152,0.0,0.257113,0.0,0.384108,0.0,0.23588,0.001744,0.150536,0.0,0.184103,0.0,0.158619,1
19,2023-02-06T14:17:40.000000000,2023-02-06T14:18:38.000000000,0.0,0.173743,0.0,0.169371,0.0,0.140853,0.994659,0.841672,0.996434,0.744117,0.0,0.253811,0.996434,0.744117,0.0,0.177225,0.0,0.179916,0.0,0.123629,0.0,0.116009,0.0,0.523003,0.0,0.521793,0.0,0.110509,0.0,0.169534,0.0,0.187466,0.0,0.322514,0.0,0.182407,0.001744,0.067601,0.0,0.105237,0.0,0.07578,1
