timestamp,i1_pos_switch,i2_pos_switch,i3_pos_switch,i4_light_barrier,m1_speed,m2_speed,m3_speed,o7_valve,o8_compressor,current_task,current_task_duration,current_sub_task,failure_label,i1_light_barrier,i2_light_barrier,i3_light_barrier,i5_pos_switch,i6_pos_switch,i7_pos_switch,i8_pos_switch,m4_speed,current_pos_x,current_pos_y,target_pos_x,target_pos_y,amount_of_workpieces,i1_pos,i2_pos,i3_photoresistor,i5_joystick_x_f,i6_joystick_y_f,i7_joystick_x_b,i8_joystick_y_b,i2_color_sensor,i6_light_barrier,i7_light_barrier,i8_light_barrier,o5_valve,o6_valve,i5_light_barrier,i4_pos_switch,i8_color_sensor,o7_compressor_level,o8_valve_open,current_pos_z,target_pos_z,current_state_binary
2023-02-06 14:08:08,,,,0.0,-6.245236426163254e-19,-6.245236426163254e-19,-6.245236426163254e-19,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-6.245236426163254e-19,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:10,,,,0.0,-0.0005281179005326288,-0.0005281179005326288,-0.0005281179005326288,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0005281179005326288,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:12,,,,0.0,-0.0009127884106141662,-0.0009127884106141662,-0.0009127884106141662,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0009127884106141662,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:14,,,,0.0,-0.00043462679875284536,-0.00043462679875284536,-0.00043462679875284536,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.00043462679875284536,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:16,,,,0.0,0.0005534145723082697,0.0005534145723082697,0.0005534145723082697,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0005534145723082697,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:18,,,,0.0,0.0005534145723082684,0.0005534145723082684,0.0005534145723082684,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0005534145723082684,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:20,,,,0.0,-0.0010792778278640093,-0.0010792778278640093,-0.0010792778278640093,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0010792778278640093,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:22,,,,0.0,-0.0023635377543146656,-0.0023635377543146656,-0.0023635377543146656,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0023635377543146656,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:24,,,,0.0,-0.0007462211888698451,-0.0007462211888698451,-0.0007462211888698451,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0007462211888698451,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:26,,,,0.0,0.0025137328487366208,0.0025137328487366208,0.0025137328487366208,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0025137328487366208,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:28,,,,0.0,0.002513732848736618,0.002513732848736618,0.002513732848736618,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.002513732848736618,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:30,,,,0.0,-0.0023991367086971193,-0.0023991367086971193,-0.0023991367086971193,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0023991367086971193,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:32,,,,0.0,-0.006081979411402171,-0.006081979411402171,-0.006081979411402171,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.006081979411402171,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:34,,,,0.0,-0.0016413049489089585,-0.0016413049489089585,-0.0016413049489089585,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0016413049489089585,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
2023-02-06 14:08:36,,,,0.0,0.006986723545812138,0.006986723545812138,0.006986723545812138,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.006986723545812138,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0
